"Name","State","PathName","StartMode"
"Mup","Running","C:\Windows\system32\Drivers\mup.sys","Boot"
"mvumis","Stopped","C:\Windows\system32\drivers\mvumis.sys","Manual"
"NahimicBTLink","Running","C:\Windows\system32\drivers\NahimicBTLink.sys","Manual"
"Nahimic_Mirroring","Running","C:\Windows\system32\drivers\Nahimic_Mirroring.sys","Manual"
"NativeWifiP","Running","C:\Windows\system32\DRIVERS\nwifi.sys","Manual"
"ndfltr","Stopped","C:\Windows\system32\drivers\ndfltr.sys","Manual"
"NDIS","Running","C:\Windows\system32\drivers\ndis.sys","Boot"
"NdisCap","Running","C:\Windows\system32\drivers\ndiscap.sys","System"
"NdisImPlatform","Stopped","C:\Windows\system32\drivers\NdisImPlatform.sys","Manual"
"NdisTapi","Running","C:\Windows\system32\DRIVERS\ndistapi.sys","Manual"
"Ndisuio","Running","C:\Windows\system32\drivers\ndisuio.sys","Manual"
"NdisVirtualBus","Running","C:\Windows\system32\drivers\NdisVirtualBus.sys","Manual"
"NdisWan","Running","C:\Windows\system32\drivers\ndiswan.sys","Manual"
"ndiswanlegacy","Stopped","C:\Windows\system32\DRIVERS\ndiswan.sys","Manual"
"NDKPerf","Stopped","C:\Windows\system32\drivers\NDKPerf.sys","Manual"
"NDKPing","Stopped","C:\Windows\system32\drivers\NDKPing.sys","Manual"
"ndproxy","Running","C:\Windows\system32\DRIVERS\NDProxy.sys","Manual"
"Ndu","Running","C:\Windows\system32\drivers\Ndu.sys","Auto"
"NetAdapterCx","Stopped","C:\Windows\system32\drivers\NetAdapterCx.sys","Manual"
"NetBIOS","Running","C:\Windows\system32\drivers\netbios.sys","System"
"NetBT","Running","C:\Windows\system32\DRIVERS\netbt.sys","System"
"netvsc","Stopped","C:\Windows\system32\drivers\netvsc.sys","Manual"
"Netwtw12","Stopped","C:\Windows\system32\drivers\Netwtw12.sys","Manual"
"Netwtw14","Running","C:\Windows\system32\drivers\Netwtw14.sys","Manual"
"nllWintun","Stopped","C:\Windows\system32\drivers\nllWintun.sys","Manual"
"npcap","Running","C:\Windows\system32\DRIVERS\npcap.sys","System"
"npcap_wifi","Stopped","C:\Windows\system32\DRIVERS\npcap.sys","Disabled"
"Npfs","Running","C:\Windows\system32\drivers\Npfs.sys","System"
"npsvctrig","Running","C:\Windows\system32\drivers\npsvctrig.sys","System"
"nsiproxy","Running","C:\Windows\system32\drivers\nsiproxy.sys","System"
"Ntfs","Running","C:\Windows\system32\drivers\Ntfs.sys","Manual"
"Null","Running","C:\Windows\system32\drivers\Null.sys","System"
"nvdimm","Stopped","C:\Windows\system32\drivers\nvdimm.sys","Manual"
"NVHDA","Running","C:\Windows\system32\drivers\nvhda64v.sys","Manual"
"nvlddmkm","Running","C:\Windows\system32\DriverStore\FileRepository\nvmii.inf_amd64_dec58f6b93e9280e\nvlddmkm.sys","Manual"
"nvmedisk","Stopped","C:\Windows\system32\drivers\nvmedisk.sys","Manual"
"nvpcf","Running","C:\Windows\system32\drivers\nvpcf.sys","Manual"
"nvraid","Stopped","C:\Windows\system32\drivers\nvraid.sys","Manual"
"nvstor","Stopped","C:\Windows\system32\drivers\nvstor.sys","Manual"
"nvvad_WaveExtensible","Running","C:\Windows\system32\drivers\nvvad64v.sys","Manual"
"nvvhci","Stopped","C:\Windows\system32\drivers\nvvhci.sys","Disabled"
"P9Rdr","Running","C:\Windows\system32\drivers\p9rdr.sys","Manual"
"Parport","Stopped","C:\Windows\system32\drivers\parport.sys","Manual"
"partmgr","Running","C:\Windows\system32\drivers\partmgr.sys","Boot"
"pci","Running","C:\Windows\system32\drivers\pci.sys","Boot"
"pciide","Stopped","C:\Windows\system32\drivers\pciide.sys","Manual"
"pcmcia","Stopped","C:\Windows\system32\drivers\pcmcia.sys","Manual"
"pcw","Running","C:\Windows\system32\drivers\pcw.sys","Boot"
"pdc","Running","C:\Windows\system32\drivers\pdc.sys","Boot"
"PEAUTH","Running","C:\Windows\system32\drivers\peauth.sys","Auto"
"percsas2i","Stopped","C:\Windows\system32\drivers\percsas2i.sys","Manual"
"percsas3i","Stopped","C:\Windows\system32\drivers\percsas3i.sys","Manual"
"PktMon","Stopped","C:\Windows\system32\drivers\PktMon.sys","Manual"
"pmem","Stopped","C:\Windows\system32\drivers\pmem.sys","Manual"
"PNPMEM","Stopped","C:\Windows\system32\drivers\pnpmem.sys","Manual"
"portcfg","Stopped","C:\Windows\system32\drivers\portcfg.sys","Manual"
"PptpMiniport","Running","C:\Windows\system32\drivers\raspptp.sys","Manual"
"PRM","Running","C:\Windows\system32\DriverStore\FileRepository\prm.inf_amd64_de435dc5c75d64a5\PRM.sys","Boot"
"Processor","Stopped","C:\Windows\system32\drivers\processr.sys","Manual"
"Psched","Running","C:\Windows\system32\drivers\pacer.sys","System"
"pvscsi","Stopped","C:\Windows\system32\drivers\pvscsii.sys","Manual"
"QWAVEdrv","Stopped","C:\Windows\system32\drivers\qwavedrv.sys","Manual"
"Ramdisk","Stopped","C:\Windows\system32\DRIVERS\ramdisk.sys","Manual"
"RasAcd","Stopped","C:\Windows\system32\DRIVERS\rasacd.sys","Manual"
"RasAgileVpn","Running","C:\Windows\system32\drivers\AgileVpn.sys","Manual"
"Rasl2tp","Running","C:\Windows\system32\drivers\rasl2tp.sys","Manual"
"RasPppoe","Running","C:\Windows\system32\drivers\raspppoe.sys","Manual"
"RasSstp","Running","C:\Windows\system32\drivers\rassstp.sys","Manual"
"rdbss","Running","C:\Windows\system32\DRIVERS\rdbss.sys","System"
"rdpbus","Running","C:\Windows\system32\drivers\rdpbus.sys","Manual"
"RDPDR","Stopped","C:\Windows\system32\drivers\rdpdr.sys","Manual"
"RdpVideoMiniport","Stopped","C:\Windows\system32\drivers\rdpvideominiport.sys","Manual"
"rdyboost","Running","C:\Windows\system32\drivers\rdyboost.sys","Boot"
"ReFS","Stopped","C:\Windows\system32\drivers\ReFS.sys","Manual"
"ReFSv1","Stopped","C:\Windows\system32\drivers\ReFSv1.sys","Manual"
"RFCOMM","Stopped","C:\Windows\system32\drivers\rfcomm.sys","Manual"
"rhproxy","Stopped","C:\Windows\system32\drivers\rhproxy.sys","Manual"
"RoutePolicy","Stopped","C:\Windows\system32\drivers\RoutePolicy.sys","Manual"
"rspndr","Running","C:\Windows\system32\drivers\rspndr.sys","Auto"
"rt640x64","Running","C:\Windows\system32\drivers\rt640x64.sys","Manual"
"rt68cx21","Stopped","C:\Windows\system32\DriverStore\FileRepository\rt68cx21x64.inf_amd64_8db01a9992cf3fbb\rt68cx21x64.sys","Manual"
"rtcx21","Stopped","C:\Windows\system32\DriverStore\FileRepository\rtcx21x64.inf_amd64_516e5c9b75c49dc2\rtcx21x64.sys","Manual"
"rtucx22x64","Stopped","C:\Windows\system32\DriverStore\FileRepository\rtucx22x64.inf_amd64_b75e67d8c02481f5\rtucx22x64.sys","Manual"
"rtux64w10","Stopped","C:\Windows\system32\DriverStore\FileRepository\rtux64w10.inf_amd64_03831aeaaa2c730e\rtux64w10.sys","Manual"
"rtwlanu6","Running","C:\Windows\system32\drivers\rtwlanu6.sys","Manual"
"RzCommon","Running","C:\Windows\system32\drivers\RzCommon.sys","Manual"
"RzDev_0083","Stopped","C:\Windows\system32\drivers\RzDev_0083.sys","Manual"
"RzDev_0098","Stopped","C:\Windows\system32\drivers\RzDev_0098.sys","Manual"
"RzDev_00b9","Running","C:\Windows\system32\drivers\RzDev_00b9.sys","Manual"
"RzDev_Virtual","Running","C:\Windows\system32\drivers\RzDev_Virtual.sys","Manual"
"s3cap","Stopped","C:\Windows\system32\drivers\vms3cap.sys","Manual"
"sbp2port","Stopped","C:\Windows\system32\drivers\sbp2port.sys","Manual"
"scfilter","Stopped","C:\Windows\system32\DRIVERS\scfilter.sys","Manual"
"scmbus","Stopped","C:\Windows\system32\drivers\scmbus.sys","Manual"
"sdbus","Stopped","C:\Windows\system32\drivers\sdbus.sys","Manual"
"SDFRd","Stopped","C:\Windows\system32\drivers\SDFRd.sys","Manual"
"sdstor","Stopped","C:\Windows\system32\drivers\sdstor.sys","Manual"
"SerCx","Stopped","C:\Windows\system32\drivers\SerCx.sys","Manual"
"SerCx2","Stopped","C:\Windows\system32\drivers\SerCx2.sys","Manual"
"Serenum","Stopped","C:\Windows\system32\drivers\serenum.sys","Manual"
"Serial","Stopped","C:\Windows\system32\drivers\serial.sys","Manual"
"sermouse","Stopped","C:\Windows\system32\drivers\sermouse.sys","Manual"
"sfloppy","Stopped","C:\Windows\system32\drivers\sfloppy.sys","Manual"
"SiSRaid2","Stopped","C:\Windows\system32\drivers\SiSRaid2.sys","Manual"
"SiSRaid4","Stopped","C:\Windows\system32\drivers\sisraid4.sys","Manual"
"SmartSAMD","Stopped","C:\Windows\system32\drivers\SmartSAMD.sys","Manual"
"spaceparser","Stopped","C:\Windows\system32\drivers\spaceparser.sys","Manual"
"spaceport","Running","C:\Windows\system32\drivers\spaceport.sys","Boot"
"SpatialGraphFilter","Stopped","C:\Windows\system32\drivers\SpatialGraphFilter.sys","Manual"
"SpbCx","Running","C:\Windows\system32\drivers\SpbCx.sys","Manual"
"srv2","Running","C:\Windows\system32\DRIVERS\srv2.sys","Manual"
"srvnet","Running","C:\Windows\system32\DRIVERS\srvnet.sys","Manual"
"ssdevfactory","Running","C:\Windows\system32\drivers\ssdevfactory.sys","Manual"
"sshid","Running","C:\Windows\system32\drivers\sshid.sys","Manual"
"ssudmdm","Stopped","C:\Windows\system32\DRIVERS\ssudmdm.sys","Manual"
"ss_conn_usb_driver2","Stopped","C:\Windows\system32\Drivers\ss_conn_usb_driver2.sys","Manual"
"SteelSeries_Sonar_VAD","Running","C:\Windows\system32\DriverStore\FileRepository\steelseries-sonar-vad.inf_amd64_da15ab44a6216a8e\SteelSeries-Sonar-VAD.sys","Manual"
"stexstor","Stopped","C:\Windows\system32\drivers\stexstor.sys","Manual"
"storahci","Stopped","C:\Windows\system32\drivers\storahci.sys","Manual"
"storflt","Stopped","C:\Windows\system32\drivers\vmstorfl.sys","Manual"
"stornvme","Running","C:\Windows\system32\drivers\stornvme.sys","Boot"
"storqosflt","Running","C:\Windows\system32\drivers\storqosflt.sys","Auto"
"storufs","Stopped","C:\Windows\system32\drivers\storufs.sys","Manual"
"storvsc","Stopped","C:\Windows\system32\drivers\storvsc.sys","Manual"
"swenum","Running","C:\Windows\system32\DriverStore\FileRepository\swenum.inf_amd64_d84a235075a8ff73\swenum.sys","Manual"
"tap0901","Running","C:\Windows\system32\drivers\tap0901.sys","Manual"
"Tcpip","Running","C:\Windows\system32\drivers\tcpip.sys","Boot"
"Tcpip6","Stopped","C:\Windows\system32\drivers\tcpip.sys","Manual"
"tcpipreg","Running","C:\Windows\system32\drivers\tcpipreg.sys","Auto"
"tdx","Running","C:\Windows\system32\DRIVERS\tdx.sys","System"
"terminpt","Stopped","C:\Windows\system32\drivers\terminpt.sys","Manual"
"TPM","Running","C:\Windows\system32\drivers\tpm.sys","Manual"
"TsUsbFlt","Stopped","C:\Windows\system32\drivers\tsusbflt.sys","Manual"
"TsUsbGD","Stopped","C:\Windows\system32\drivers\TsUsbGD.sys","Manual"
"tunnel","Stopped","C:\Windows\system32\drivers\tunnel.sys","Manual"
"UASPStor","Stopped","C:\Windows\system32\drivers\uaspstor.sys","Manual"
"UcmCx0101","Stopped","C:\Windows\system32\Drivers\UcmCx.sys","Manual"
"UcmTcpciCx0101","Stopped","C:\Windows\system32\Drivers\UcmTcpciCx.sys","Manual"
"UcmUcsiAcpiClient","Stopped","C:\Windows\system32\drivers\UcmUcsiAcpiClient.sys","Manual"
"UcmUcsiCx0101","Stopped","C:\Windows\system32\Drivers\UcmUcsiCx.sys","Manual"
"UCPD","Running","C:\Windows\system32\drivers\UCPD.sys","System"
"Ucx01000","Running","C:\Windows\system32\drivers\ucx01000.sys","Manual"
"UdeCx","Stopped","C:\Windows\system32\drivers\udecx.sys","Manual"
"udfs","Stopped","C:\Windows\system32\DRIVERS\udfs.sys","Disabled"
"UEFI","Running","C:\Windows\system32\DriverStore\FileRepository\uefi.inf_amd64_3abb917fc03c6fa8\UEFI.sys","Manual"
"Ufx01000","Stopped","C:\Windows\system32\drivers\ufx01000.sys","Manual"
"UfxChipidea","Stopped","C:\Windows\system32\DriverStore\FileRepository\ufxchipidea.inf_amd64_a479fc09885aecbd\UfxChipidea.sys","Manual"
"ufxsynopsys","Stopped","C:\Windows\system32\drivers\ufxsynopsys.sys","Manual"
"umbus","Running","C:\Windows\system32\DriverStore\FileRepository\umbus.inf_amd64_3702527f0d5a77cf\umbus.sys","Manual"
"UmPass","Stopped","C:\Windows\system32\drivers\umpass.sys","Manual"
"UrsChipidea","Stopped","C:\Windows\system32\DriverStore\FileRepository\urschipidea.inf_amd64_1dcac3970ff32f7b\urschipidea.sys","Manual"
"UrsCx01000","Stopped","C:\Windows\system32\drivers\urscx01000.sys","Manual"
"UrsSynopsys","Stopped","C:\Windows\system32\DriverStore\FileRepository\urssynopsys.inf_amd64_d123de445c8c5235\urssynopsys.sys","Manual"
"Usb4DeviceRouter","Stopped","C:\Windows\system32\DriverStore\FileRepository\usb4devicerouter.inf_amd64_affff99a0fc4e0e6\Usb4DeviceRouter.sys","Manual"
"Usb4HostRouter","Stopped","C:\Windows\system32\DriverStore\FileRepository\usb4hostrouter.inf_amd64_a0976e8e564e0236\Usb4HostRouter.sys","Manual"
"usbaudio","Stopped","C:\Windows\system32\drivers\usbaudio.sys","Manual"
"usbaudio2","Stopped","C:\Windows\system32\drivers\usbaudio2.sys","Manual"
"usbccgp","Running","C:\Windows\system32\drivers\usbccgp.sys","Manual"
"usbcir","Stopped","C:\Windows\system32\drivers\usbcir.sys","Manual"
"usbehci","Stopped","C:\Windows\system32\drivers\usbehci.sys","Manual"
"usbhub","Stopped","C:\Windows\system32\drivers\usbhub.sys","Manual"
"USBHUB3","Running","C:\Windows\system32\drivers\UsbHub3.sys","Manual"
"usbohci","Stopped","C:\Windows\system32\drivers\usbohci.sys","Manual"
"usbprint","Stopped","C:\Windows\system32\drivers\usbprint.sys","Manual"
"usbser","Stopped","C:\Windows\system32\drivers\usbser.sys","Manual"
"USBSTOR","Running","C:\Windows\system32\drivers\USBSTOR.SYS","Manual"
"usbuhci","Stopped","C:\Windows\system32\drivers\usbuhci.sys","Manual"
"usbvideo","Running","C:\Windows\system32\Drivers\usbvideo.sys","Manual"
"USBXHCI","Running","C:\Windows\system32\drivers\USBXHCI.SYS","Manual"
"vdrvroot","Running","C:\Windows\system32\drivers\vdrvroot.sys","Boot"
"VerifierExt","Stopped","C:\Windows\system32\drivers\VerifierExt.sys","Manual"
"vhdmp","Stopped","C:\Windows\system32\drivers\vhdmp.sys","Manual"
"vhf","Stopped","C:\Windows\system32\drivers\vhf.sys","Manual"
"Vid","Running","C:\Windows\system32\drivers\Vid.sys","System"
"VirtualRender","Stopped","C:\Windows\system32\DriverStore\FileRepository\vrd.inf_amd64_df3fa89d8f6bbc88\vrd.sys","Manual"
"vmbus","Stopped","C:\Windows\system32\drivers\vmbus.sys","Manual"
"VMBusHID","Stopped","C:\Windows\system32\drivers\VMBusHID.sys","Manual"
"vmgid","Stopped","C:\Windows\system32\drivers\vmgid.sys","Manual"
"vmulti","Stopped","C:\Windows\system32\drivers\vmulti.sys","Manual"
"volmgr","Running","C:\Windows\system32\drivers\volmgr.sys","Boot"
"volmgrx","Running","C:\Windows\system32\drivers\volmgrx.sys","Boot"
"volsnap","Running","C:\Windows\system32\drivers\volsnap.sys","Boot"
"volume","Running","C:\Windows\system32\drivers\volume.sys","Boot"
"vpci","Stopped","C:\Windows\system32\drivers\vpci.sys","Manual"
"vsmraid","Stopped","C:\Windows\system32\drivers\vsmraid.sys","Manual"
"VSTXRAID","Stopped","C:\Windows\system32\drivers\vstxraid.sys","Manual"
"vwifibus","Running","C:\Windows\system32\drivers\vwifibus.sys","Manual"
"vwififlt","Running","C:\Windows\system32\drivers\vwififlt.sys","System"
"vwifimp","Running","C:\Windows\system32\drivers\vwifimp.sys","Manual"
"WacomPen","Stopped","C:\Windows\system32\drivers\wacompen.sys","Manual"
"wanarp","Running","C:\Windows\system32\DRIVERS\wanarp.sys","Auto"
"wanarpv6","Stopped","C:\Windows\system32\DRIVERS\wanarp.sys","Manual"
"wcifs","Running","C:\Windows\system32\drivers\wcifs.sys","Auto"
"WdBoot","Stopped","C:\Windows\system32\drivers\wd\WdBoot.sys","Boot"
"Wdf01000","Running","C:\Windows\system32\drivers\Wdf01000.sys","Boot"
"WdFilter","Running","C:\Windows\system32\drivers\wd\WdFilter.sys","Boot"
"wdiwifi","Running","C:\Windows\system32\DRIVERS\wdiwifi.sys","Manual"
"WdmCompanionFilter","Stopped","C:\Windows\system32\drivers\WdmCompanionFilter.sys","Manual"
"WdNisDrv","Running","C:\Windows\system32\drivers\wd\WdNisDrv.sys","Manual"
"WFPLWFS","Running","C:\Windows\system32\drivers\wfplwfs.sys","Boot"
"WifiCx","Stopped","C:\Windows\system32\drivers\WifiCx.sys","Manual"
"WIMMount","Stopped","C:\Windows\system32\drivers\wimmount.sys","Manual"
"WindowsTrustedRT","Running","C:\Windows\system32\drivers\WindowsTrustedRT.sys","Boot"
"WindowsTrustedRTProxy","Running","C:\Windows\system32\drivers\WindowsTrustedRTProxy.sys","Boot"
"WinMad","Stopped","C:\Windows\system32\drivers\winmad.sys","Manual"
"WinNat","Stopped","C:\Windows\system32\drivers\winnat.sys","Manual"
"WINUSB","Stopped","C:\Windows\system32\drivers\WinUsb.sys","Manual"
"WinVerbs","Stopped","C:\Windows\system32\drivers\winverbs.sys","Manual"
"WmiAcpi","Running","C:\Windows\system32\drivers\wmiacpi.sys","Manual"
"Wof","Running","C:\Windows\system32\drivers\Wof.sys","Boot"
"WpdUpFltr","Running","C:\Windows\system32\drivers\WpdUpFltr.sys","Manual"
"ws2ifsl","Stopped","C:\Windows\system32\drivers\ws2ifsl.sys","Disabled"
"WSDPrintDevice","Stopped","C:\Windows\system32\drivers\WSDPrint.sys","Manual"
"WSDScan","Stopped","C:\Windows\system32\drivers\WSDScan.sys","Manual"
"wtd","Running","C:\Windows\system32\drivers\wtd.sys","Auto"
"WudfPf","Stopped","C:\Windows\system32\drivers\WudfPf.sys","Manual"
"WUDFRd","Running","C:\Windows\system32\drivers\WUDFRd.sys","Manual"
"WUDFWpdFs","Running","C:\Windows\system32\DRIVERS\WUDFRd.sys","Manual"
"WUDFWpdMtp","Running","C:\Windows\system32\drivers\WUDFRd.sys","Manual"
"xboxgip","Stopped","C:\Windows\system32\drivers\xboxgip.sys","Manual"
"xinputhid","Stopped","C:\Windows\system32\drivers\xinputhid.sys","Manual"
"xusb22","Stopped","C:\Windows\system32\drivers\xusb22.sys","Manual"
"Xvdd","Running","C:\Windows\system32\DriverStore\FileRepository\xvdd.inf_amd64_95335f3f2e089e1e\xvdd.sys","Manual"
