"Name","DisplayName","State","StartMode","StartName","PathName"
"AdobeUpdateService","AdobeUpdateService","Running","Auto","LocalSystem","""C:\Program Files (x86)\Common Files\Adobe\Adobe Desktop Common\ElevationManager\AdobeUpdateService.exe"""
"AdskLicensingService","Autodesk Desktop Licensing Service","Running","Auto","NT AUTHORITY\LocalService","""C:\Program Files (x86)\Common Files\Autodesk Shared\AdskLicensing\Current\AdskLicensingService\AdskLicensingService.exe"""
"Appinfo","Application Information","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"AppXSvc","AppX Deployment Service (AppXSVC)","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k wsappx -p"
"AudioEndpointBuilder","Windows Audio Endpoint Builder","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Audiosrv","Windows Audio","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"BFE","Base Filtering Engine","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"BrokerInfrastructure","Background Tasks Infrastructure Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"bthserv","Bluetooth Support Service","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"camsvc","Capability Access Manager Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k osprivacy -p"
"cbdhsvc_a93da","Clipboard User Service_a93da","Running","Auto",,"C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p"
"CDPSvc","Connected Devices Platform Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"CDPUserSvc_a93da","Connected Devices Platform User Service_a93da","Running","Auto",,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"CoreMessagingRegistrar","CoreMessaging","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNoNetwork -p"
"CorsairGamingAudioConfig","Corsair Gaming Audio Configuration Service","Running","Auto","LocalSystem","C:\Windows\System32\CorsairGamingAudioCfgService64.exe"
"cplspcon","Intel(R) Content Protection HDCP Service","Running","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_5b1252b3763da959\IntelCpHDCPSvc.exe"
"CryptSvc","Cryptographic Services","Running","Auto","NT Authority\NetworkService","C:\Windows\system32\svchost.exe -k NetworkService -p"
"DcomLaunch","DCOM Server Process Launcher","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"DeviceAssociationService","Device Association Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DeviceInstall","Device Install Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"DevicesFlowUserSvc_a93da","DevicesFlow_a93da","Running","Manual",,"C:\Windows\system32\svchost.exe -k DevicesFlow"
"Dhcp","DHCP Client","Running","Auto","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"DispBrokerDesktopSvc","Display Policy Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"DisplayEnhancementService","Display Enhancement Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Dnscache","DNS Client","Running","Auto","NT AUTHORITY\NetworkService","C:\Windows\system32\svchost.exe -k NetworkService -p"
"DoSvc","Delivery Optimization","Running","Auto","NT Authority\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p"
"DPS","Diagnostic Policy Service","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p"
"dptftcs","Intel(R) Dynamic Tuning Technology Telemetry Service","Running","Auto","NT Authority\LocalService","""C:\Windows\System32\DriverStore\FileRepository\dtt_sw.inf_amd64_a56d66a9d40a4cb2\ipfsvc.exe"""
"DsSvc","Data Sharing Service","Running","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DusmSvc","Data Usage","Running","Auto","NT Authority\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"EventLog","Windows Event Log","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"EventSystem","COM+ Event System","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"FlexNet Licensing Service 64","FlexNet Licensing Service 64","Running","Auto","LocalSystem","""C:\Program Files\Common Files\Macrovision Shared\FlexNet Publisher\FNPLicensingService64.exe"""
"FontCache","Windows Font Cache Service","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"GamingServices","Gaming Services","Running","Auto","LocalSystem","""C:\Program Files\WindowsApps\Microsoft.GamingServices_30.104.13001.0_x64__8wekyb3d8bbwe\GamingServices.exe"""
"GamingServicesNet","Gaming Services","Running","Auto","NT AUTHORITY\LocalService","""C:\Program Files\WindowsApps\Microsoft.GamingServices_30.104.13001.0_x64__8wekyb3d8bbwe\GamingServicesNet.exe"""
"gpsvc","Group Policy Client","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"GraphicsPerfSvc","GraphicsPerfSvc","Running","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k GraphicsPerfSvcGroup"
"hidserv","Human Interface Device Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"HPPrintScanDoctorService","HP Print Scan Doctor Service","Running","Auto","LocalSystem","""C:\Program Files\HPPrintScanDoctor\HPPrintScanDoctorService.exe"""
"HvHost","HV Host Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"igccservice","Intel(R) Graphics Command Center Service","Running","Auto","LocalSystem","""C:\Windows\System32\DriverStore\FileRepository\igcc_dch.inf_amd64_4e93878658043b21\OneApp.IGCC.WinService.exe"""
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"InstallService","Microsoft Store Install Service","Running","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
"IntelAudioService","Intel(R) Audio Service","Running","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\intcoed.inf_amd64_cbcebe813d4324dc\\AS\\IAS\\IntelAudioService.exe"
"ipfsvc","Intel(R) Innovation Platform Framework Service","Running","Auto","LocalSystem","""C:\Windows\System32\DriverStore\FileRepository\ipf_cpu.inf_amd64_b4463a9eb4e1c069\ipf_uf.exe"""
"iphlpsvc","IP Helper","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k NetSvcs -p"
"JetBrainsEtwHost.16","JetBrains ETW Host Service v16.43.0 (x64)","Running","Auto","LocalSystem","""C:\Program Files\JetBrains\ETW Host\16\JetBrains.Etw.Collector.Host.exe"""
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","Running","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\dal.inf_amd64_af50fdb80983f7bc\jhi_service.exe"
"KeyIso","CNG Key Isolation","Running","Manual","LocalSystem","C:\Windows\system32\lsass.exe"
"LanmanServer","Server","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"LanmanWorkstation","Workstation","Running","Auto","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p"
"lfsvc","Geolocation Service","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"LicenseManager","Windows License Manager Service","Running","Manual","NT Authority\LocalService","C:\Windows\System32\svchost.exe -k LocalService -p"
"lmhosts","TCP/IP NetBIOS Helper","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"LSM","Local Session Manager","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"MDCoreSvc","Microsoft Defender Core Service","Running","Auto","LocalSystem","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25070.5-0\MpDefenderCoreService.exe"""
"Micro Star SCM","Micro Star SCM","Running","Auto","LocalSystem","""C:\Windows\SysWOW64\MSIService.exe"""
"mpssvc","Windows Defender Firewall","Running","Auto","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNoNetworkFirewall -p"
"MSI Foundation Service","MSI Foundation Service","Running","Auto","LocalSystem","""C:\Program Files (x86)\MSI\MSI NBFoundation Service\MSIAPService.exe"""
"MSI Sendevsvc","Sensor dev service","Running","Auto","LocalSystem","""C:\Program Files (x86)\MSI\MSI NBFoundation Service\Sendevsvc.exe"""
"MSI_Center_Service","MSI Center Service","Running","Auto","LocalSystem","""C:\Program Files (x86)\MSI\MSI Center\MSI_Central_Service.exe"""
"NahimicService","Nahimic service","Running","Auto","LocalSystem","C:\Windows\System32\NahimicService.exe"
"NcbService","Network Connection Broker","Running","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"netprofm","Network List Service","Running","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k netprofm -p"
"NetSetupSvc","Network Setup Service","Running","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
"NgcCtnrSvc","Microsoft Passport Container","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"NgcSvc","Microsoft Passport","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"NPSMSvc_a93da","NPSMSvc_a93da","Running","Manual",,"C:\Windows\system32\svchost.exe -k LocalService -p"
"nsi","Network Store Interface Service","Running","Auto","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"NvContainerLocalSystem","NVIDIA LocalSystem Container","Running","Auto","LocalSystem","""C:\Program Files\NVIDIA Corporation\NvContainer\nvcontainer.exe"" -s NvContainerLocalSystem -a -f ""C:\ProgramData\NVIDIA Corporation\NVIDIA app\NvContainer\NvContainerLocalSystem.log"" -l 3 -d ""C:\Program Files\NVIDIA Corporation\NvContainer\plugins\LocalSystem"" -r -p 30000  -ert"
"NVDisplay.ContainerLocalSystem","NVIDIA Display Container LS","Running","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\nvmii.inf_amd64_dec58f6b93e9280e\Display.NvContainer\NVDisplay.Container.exe -s NVDisplay.ContainerLocalSystem -f C:\ProgramData\NVIDIA\NVDisplay.ContainerLocalSystem.log -l 3 -d C:\Windows\System32\DriverStore\FileRepository\nvmii.inf_amd64_dec58f6b93e9280e\Display.NvContainer\plugins\LocalSystem -r -p 30000 -cfg NVDisplay.ContainerLocalSystem\LocalSystem /ert"
"OneSyncSvc_a93da","Sync Host_a93da","Running","Auto",,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"PcaSvc","Program Compatibility Assistant Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"PlugPlay","Plug and Play","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"PolicyAgent","IPsec Policy Agent","Running","Manual","NT Authority\NetworkService","C:\Windows\system32\svchost.exe -k NetworkServiceNetworkRestricted -p"
"Power","Power","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"ProfSvc","User Profile Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k UserProfileService -p"
"RasMan","Remote Access Connection Manager","Running","Manual","localSystem","C:\Windows\System32\svchost.exe -k netsvcs"
"Razer Chroma SDK Server","Razer Chroma SDK Server","Running","Auto","LocalSystem","""C:\Program Files (x86)\Razer Chroma SDK\bin\RzSDKServer.exe"""
"Razer Chroma SDK Service","Razer Chroma SDK Service","Running","Auto","LocalSystem","""C:\Program Files (x86)\Razer Chroma SDK\bin\RzSDKService.exe"""
"Razer Chroma Stream Server","Razer Chroma Stream Server","Running","Auto","LocalSystem","""C:\Program Files (x86)\Razer Chroma SDK\bin\RzChromaStreamServer.exe"""
"Razer Game Manager Service","Razer Game Manager","Running","Auto","LocalSystem","""C:\Program Files (x86)\Razer\Razer Services\GMS\GameManagerService.exe"""
"Razer Synapse Service","Razer Synapse Service","Running","Auto","LocalSystem","""C:\Program Files (x86)\Razer\Synapse3\Service\Razer Synapse Service.exe"""
"RmSvc","Radio Management Service","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted"
"RpcEptMapper","RPC Endpoint Mapper","Running","Auto","NT AUTHORITY\NetworkService","C:\Windows\system32\svchost.exe -k RPCSS -p"
"RpcSs","Remote Procedure Call (RPC)","Running","Auto","NT AUTHORITY\NetworkService","C:\Windows\system32\svchost.exe -k rpcss -p"
"RtkAudioUniversalService","Realtek Audio Universal Service","Running","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\realtekservice.inf_amd64_a92c6a36ec21763b\RtkAudUService64.exe"
"RTUsbSwSrvc","RTUsbSwSrvc","Running","Auto","LocalSystem","C:\Windows\RTUWPSrvcMain.exe"
"RzActionSvc","Razer Central Service","Running","Auto","LocalSystem","""C:\Program Files (x86)\Razer\Razer Services\Razer Central\RazerCentralService.exe"""
"SamSs","Security Accounts Manager","Running","Auto","LocalSystem","C:\Windows\system32\lsass.exe"
"Schedule","Task Scheduler","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"seclogon","Secondary Logon","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"SecurityHealthService","Windows Security Service","Running","Manual","LocalSystem","C:\Windows\system32\SecurityHealthService.exe"
"SENS","System Event Notification Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"ShellHWDetection","Shell Hardware Detection","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
"Spooler","Print Spooler","Running","Auto","LocalSystem","C:\Windows\System32\spoolsv.exe"
"SSDPSRV","SSDP Discovery","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"SstpSvc","Secure Socket Tunneling Protocol Service","Running","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"StateRepository","State Repository Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k appmodel -p"
"StiSvc","Windows Image Acquisition (WIA)","Running","Auto","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k imgsvc"
"StorSvc","Storage Service","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"SysMain","SysMain","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"SystemEventsBroker","System Events Broker","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k DcomLaunch -p"
"TapiSrv","Telephony","Running","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p"
"TextInputManagementService","Text Input Management Service","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"Themes","Themes","Running","Auto","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
"TimeBrokerSvc","Time Broker","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"TokenBroker","Web Account Manager","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"TrustedInstaller","Windows Modules Installer","Running","Manual","localSystem","C:\Windows\servicing\TrustedInstaller.exe"
"UdkUserSvc_a93da","Udk User Service_a93da","Running","Manual",,"C:\Windows\system32\svchost.exe -k UdkSvcGroup"
"UserManager","User Manager","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"UsoSvc","Update Orchestrator Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"VaultSvc","Credential Manager","Running","Manual","LocalSystem","C:\Windows\system32\lsass.exe"
"W32Time","Windows Time","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService"
"Wcmsvc","Windows Connection Manager","Running","Auto","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","Running","Manual","NT AUTHORITY\LocalService","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25070.5-0\NisSrv.exe"""
"webthreatdefsvc","Web Threat Defense Service","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k WebThreatDefense -p"
"webthreatdefusersvc_a93da","Web Threat Defense User Service_a93da","Running","Auto",,"C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"WinDefend","Microsoft Defender Antivirus Service","Running","Auto","LocalSystem","""C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.25070.5-0\MsMpEng.exe"""
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Running","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"Winmgmt","Windows Management Instrumentation","Running","Auto","localSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"WlanSvc","WLAN AutoConfig","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"WMIRegistrationService","Intel(R) Management Engine WMI Provider Registration","Running","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\mewmiprov.inf_amd64_d51901c26227fb29\WMIRegistrationService.exe"
"WpnService","Windows Push Notifications System Service","Running","Auto","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"WpnUserService_a93da","Windows Push Notifications User Service_a93da","Running","Auto",,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"wscsvc","Security Center","Running","Auto","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"WSearch","Windows Search","Running","Auto","LocalSystem","C:\Windows\system32\SearchIndexer.exe /Embedding"
"WSLService","WSL Service","Running","Auto","LocalSystem","""C:\Program Files\WSL\wslservice.exe"""
"XblAuthManager","Xbox Live Auth Manager","Running","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"AarSvc_a93da","Agent Activation Runtime_a93da","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k AarSvcGroup -p"
"AdobeARMservice","Adobe Acrobat Update Service","Stopped","Disabled","LocalSystem","""C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe"""
"AJRouter","AllJoyn Router Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"ALG","Application Layer Gateway Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\alg.exe"
"AppIDSvc","Application Identity","Stopped","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"AppReadiness","App Readiness","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k AppReadiness -p"
"autotimesvc","Cellular Time","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k autoTimeSvc"
"AxInstSV","ActiveX Installer (AxInstSV)","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k AxInstSVGroup"
"battlenet_helpersvc","Battle.net Update Helper Svc","Stopped","Manual","LocalSystem","C:\ProgramData\Battle.net_components\battlenet_helpersvc\AgentHelper.exe"
"BcastDVRUserService_a93da","GameDVR and Broadcast User Service_a93da","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k BcastDVRUserService"
"BDESVC","BitLocker Drive Encryption Service","Stopped","Manual","localSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
"BITS","Background Intelligent Transfer Service","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
"BluetoothUserService_a93da","Bluetooth User Support Service_a93da","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k BthAppGroup -p"
"BTAGService","Bluetooth Audio Gateway Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted"
"BthAvctpSvc","AVCTP service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"CaptureService_a93da","CaptureService_a93da","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k LocalService -p"
"CertPropSvc","Certificate Propagation","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs"
"ClickToRunSvc","Microsoft Office Click-to-Run Service","Stopped","Disabled","LocalSystem","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service"
"ClipSVC","Client License Service (ClipSVC)","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k wsappx -p"
"CloudBackupRestoreSvc_a93da","Cloud Backup and Restore Service_a93da","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"COMSysApp","COM+ System Application","Stopped","Manual","LocalSystem","C:\Windows\system32\dllhost.exe /Processid:{02D4B3F1-FD88-11D1-960D-00805FC79235}"
"ConsentUxUserSvc_a93da","ConsentUX User Service_a93da","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k DevicesFlow"
"CorsairCpuIdService","Corsair CpuIdService","Stopped","Disabled","LocalSystem","""C:\Program Files\Corsair\Corsair iCUE5 Software\Corsair iCUE5 Software\CorsairCpuIdService.exe"""
