"Name","DisplayName","State","StartMode","StartName","PathName"
"CorsairDeviceListerService","Corsair Device Listing Service","Stopped","Disabled","LocalSystem","""C:\Program Files\Corsair\Corsair iCUE5 Software\Corsair iCUE5 Software\CorsairDeviceListerService.exe"""
"CredentialEnrollmentManagerUserSvc_a93da","CredentialEnrollmentManagerUserSvc_a93da","Stopped","Manual",,"C:\Windows\system32\CredentialEnrollmentManager.exe"
"dcsvc","Declared Configuration(DC) service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"defragsvc","Optimize drives","Stopped","Manual","localSystem","C:\Windows\system32\svchost.exe -k defragsvc"
"DeviceAssociationBrokerSvc_a93da","DeviceAssociationBroker_a93da","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k DevicesFlow -p"
"DevicePickerUserSvc_a93da","DevicePicker_a93da","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k DevicesFlow"
"DevQueryBroker","DevQuery Background Discovery Broker","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"diagnosticshub.standardcollector.service","Microsoft (R) Diagnostics Hub Standard Collector Service","Stopped","Manual","LocalSystem","C:\Windows\system32\DiagSvcs\DiagnosticsHub.StandardCollector.Service.exe"
"diagsvc","Diagnostic Execution Service","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k diagnostics"
"DiagTrack","Connected User Experiences and Telemetry","Stopped","Disabled","LocalSystem","C:\Windows\System32\svchost.exe -k utcsvc -p"
"DmEnrollmentSvc","Device Management Enrollment Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"dmwappushservice","Device Management Wireless Application Protocol (WAP) Push message Routing Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"dot3svc","Wired AutoConfig","Stopped","Manual","localSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"DsmSvc","Device Setup Manager","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"EapHost","Extensible Authentication Protocol","Stopped","Manual","localSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
"edgeupdate","Microsoft Edge Update Service (edgeupdate)","Stopped","Auto","LocalSystem","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /svc"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual","LocalSystem","""C:\Program Files (x86)\Microsoft\EdgeUpdate\MicrosoftEdgeUpdate.exe"" /medsvc"
"EFS","Encrypting File System (EFS)","Stopped","Manual","LocalSystem","C:\Windows\System32\lsass.exe"
"embeddedmode","Embedded Mode","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k appmodel -p"
"fdPHost","Function Discovery Provider Host","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"FDResPub","Function Discovery Resource Publication","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"fhsvc","File History Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"FontCache3.0.0.0","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual","NT Authority\LocalService","C:\Windows\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe"
"FrameServer","Windows Camera Frame Server","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k Camera"
"FrameServerMonitor","Windows Camera Frame Server Monitor","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k CameraMonitor"
"FvSvc","NVIDIA FrameView SDK service","Stopped","Manual","LocalSystem","""C:\Program Files\NVIDIA Corporation\FrameViewSDK\nvfvsdksvc_x64.exe"" -service"
"GameInput Service","GameInput Service","Stopped","Auto","LocalSystem","""C:\Program Files (x86)\Microsoft GameInput\x64\gameinputsvc.exe"""
"GameInputSvc","GameInput Service","Stopped","Manual","LocalSystem","C:\Windows\System32\GameInputSvc.exe"
"GoogleChromeElevationService","Google Chrome Elevation Service (GoogleChromeElevationService)","Stopped","Manual","LocalSystem","""C:\Program Files\Google\Chrome\Application\139.0.7258.154\elevation_service.exe"""
"GoogleUpdaterInternalService141.0.7340.0","Google Updater Internal Service (GoogleUpdaterInternalService141.0.7340.0)","Stopped","Auto","LocalSystem","""C:\Program Files (x86)\Google\GoogleUpdater\141.0.7340.0\updater.exe"" --system --windows-service --service=update-internal"
"GoogleUpdaterService141.0.7340.0","Google Updater Service (GoogleUpdaterService141.0.7340.0)","Stopped","Auto","LocalSystem","""C:\Program Files (x86)\Google\GoogleUpdater\141.0.7340.0\updater.exe"" --system --windows-service --service=update"
"icssvc","Windows Mobile Hotspot Service","Stopped","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"iCUEUpdateService","Corsair iCUE Update Service","Stopped","Disabled","LocalSystem","""C:\Program Files\Corsair\Corsair iCUE5 Software\Corsair iCUE5 Software\iCUEUpdateService.exe"""
"Intel(R) Platform License Manager Service","Intel(R) Platform License Manager Service","Stopped","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\iclsclient.inf_amd64_fc84dfa25a6a7727\lib\PlatformLicenseManagerService.exe"
"InventorySvc","Inventory and Compatibility Appraisal service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k InvSvcGroup -p"
"IpxlatCfgSvc","IP Translation Configuration Service","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k NetworkServiceAndNoImpersonation -p"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalService -p"
"LxpSvc","Language Experience Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs"
"MapsBroker","Downloaded Maps Manager","Stopped","Auto","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p"
"McpManagementService","McpManagementService","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k McpManagementServiceGroup"
"MessagingService_a93da","MessagingService_a93da","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Stopped","Manual","LocalSystem","""C:\Program Files (x86)\Microsoft\Edge\Application\139.0.3405.119\elevation_service.exe"""
"MixedRealityOpenXRSvc","Windows Mixed Reality OpenXR Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"MSDTC","Distributed Transaction Coordinator","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\msdtc.exe"
"MSiSCSI","Microsoft iSCSI Initiator Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"msiserver","Windows Installer","Stopped","Manual","LocalSystem","C:\Windows\system32\msiexec.exe /V"
"NaturalAuthentication","Natural Authentication","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"NcaSvc","Network Connectivity Assistant","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k NetSvcs -p"
"NcdAutoSetup","Network Connected Devices Auto-Setup","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p"
"Netlogon","Netlogon","Stopped","Manual","LocalSystem","C:\Windows\system32\lsass.exe"
"Netman","Network Connections","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped","Disabled","NT AUTHORITY\LocalService","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\SMSvcHost.exe"
"NlaSvc","Network Location Awareness","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k netprofm -p"
"OverwolfUpdater","Overwolf Updater Windows SCM","Stopped","Disabled","LocalSystem","""C:\Program Files (x86)\Common Files\Overwolf\OverwolfUpdater.exe"" /RunningFrom SCM"
"p2pimsvc","Peer Networking Identity Manager","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServicePeerNet"
"p2psvc","Peer Networking Grouping","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServicePeerNet"
"P9RdrService_a93da","P9RdrService_a93da","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k P9RdrService -p"
"PenService_a93da","PenService_a93da","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k PenService"
"perceptionsimulation","Windows Perception Simulation Service","Stopped","Manual","LocalSystem","C:\Windows\system32\PerceptionSimulation\PerceptionSimulationService.exe"
"PerfHost","Performance Counter DLL Host","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\SysWow64\perfhost.exe"
"PhoneSvc","Phone Service","Stopped","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"PimIndexMaintenanceSvc_a93da","Contact Data_a93da","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"pla","Performance Logs & Alerts","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNoNetwork -p"
"PNRPAutoReg","PNRP Machine Name Publication Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServicePeerNet"
"PNRPsvc","Peer Name Resolution Protocol","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServicePeerNet"
"PrintNotify","Printer Extensions and Notifications","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k print"
"PrintWorkflowUserSvc_a93da","PrintWorkflow_a93da","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k PrintWorkflow"
"PrivateVPN Daemon","PrivateVPN Daemon","Stopped","Disabled","LocalSystem","""C:\Program Files (x86)\PrivateVPN Client\PrivateVpnDaemon.exe"""
"PushToInstall","Windows PushToInstall Service","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
"QWAVE","Quality Windows Audio Video Experience","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"RasAuto","Remote Access Auto Connection Manager","Stopped","Manual","localSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
"RemoteAccess","Routing and Remote Access","Stopped","Disabled","localSystem","C:\Windows\System32\svchost.exe -k netsvcs"
"RemoteRegistry","Remote Registry","Stopped","Disabled","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k localService -p"
"RetailDemo","Retail Demo Service","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k rdxgroup"
"RpcLocator","Remote Procedure Call (RPC) Locator","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\system32\locator.exe"
"RstMwService","Intel(R) Storage Middleware Service","Stopped","Auto","LocalSystem","C:\Windows\System32\DriverStore\FileRepository\iastorvd.inf_amd64_346bd04e375689ec\RstMwService.exe"
"SCardSvr","Smart Card","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation"
"ScDeviceEnum","Smart Card Device Enumeration Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted"
"SCPolicySvc","Smart Card Removal Policy","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs"
"SDRSVC","Windows Backup","Stopped","Manual","localSystem","C:\Windows\system32\svchost.exe -k SDRSVC"
"SEMgrSvc","Payments and NFC/SE Manager","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"SensorDataService","Sensor Data Service","Stopped","Manual","LocalSystem","C:\Windows\System32\SensorDataService.exe"
"SensorService","Sensor Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"SensrSvc","Sensor Monitoring Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"SessionEnv","Remote Desktop Configuration","Stopped","Manual","localSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
"SharedAccess","Internet Connection Sharing (ICS)","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
"SharedRealitySvc","Spatial Data Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"shpamsvc","Shared PC Account Manager","Stopped","Disabled","LocalSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
"smphost","Microsoft Storage Spaces SMP","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k smphost"
"SmsRouter","Microsoft Windows SMS Router Service.","Stopped","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"SNMPTrap","SNMP Trap","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\snmptrap.exe"
"spectrum","Windows Perception Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\spectrum.exe"
"sppsvc","Software Protection","Stopped","Auto","NT AUTHORITY\NetworkService","C:\Windows\system32\sppsvc.exe"
"SQLWriter","SQL Server VSS Writer","Stopped","Disabled","LocalSystem","""C:\Program Files\Microsoft SQL Server\90\Shared\sqlwriter.exe"""
"ssh-agent","OpenSSH Authentication Agent","Stopped","Disabled","LocalSystem","C:\Windows\System32\OpenSSH\ssh-agent.exe"
"Steam Client Service","Steam Client Service","Stopped","Manual","LocalSystem","""C:\Program Files (x86)\Common Files\Steam\steamservice.exe"" /RunAsService"
"SteelSeriesUpdateService","SteelSeries Update Service","Stopped","Manual","LocalSystem","""C:\Program Files\SteelSeries\GG\SteelSeriesUpdateService.exe"""
"svsvc","Spot Verifier","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"swprv","Microsoft Software Shadow Copy Provider","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k swprv"
"TermService","Remote Desktop Services","Stopped","Manual","NT Authority\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService"
"TieringEngineService","Storage Tiers Management","Stopped","Manual","localSystem","C:\Windows\system32\TieringEngineService.exe"
"TrkWks","Distributed Link Tracking Client","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"TroubleshootingSvc","Recommended Troubleshooting Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"tzautoupdate","Auto Time Zone Updater","Stopped","Disabled","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"uhssvc","Microsoft Update Health Service","Stopped","Disabled","LocalSystem","""C:\Program Files\Microsoft Update Health Tools\uhssvc.exe"""
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Stopped","Manual","localSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"UnistoreSvc_a93da","User Data Storage_a93da","Stopped","Manual",,"C:\Windows\System32\svchost.exe -k UnistackSvcGroup"
"upnphost","UPnP Device Host","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"UserDataSvc_a93da","User Data Access_a93da","Stopped","Manual",,"C:\Windows\system32\svchost.exe -k UnistackSvcGroup"
"VacSvc","Volumetric Audio Compositor Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p"
"vds","Virtual Disk","Stopped","Manual","LocalSystem","C:\Windows\System32\vds.exe"
"vmicguestinterface","Hyper-V Guest Service Interface","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"vmicheartbeat","Hyper-V Heartbeat Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k ICService -p"
"vmickvpexchange","Hyper-V Data Exchange Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k ICService -p"
"vmicshutdown","Hyper-V Guest Shutdown Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"vmictimesync","Hyper-V Time Synchronization Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"vmicvmsession","Hyper-V PowerShell Direct Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"VSInstallerElevationService","Visual Studio Installer Elevation Service","Stopped","Manual","LocalSystem","""C:\Program Files (x86)\Microsoft Visual Studio\Installer\VSInstallerElevationService.exe"""
"VSS","Volume Shadow Copy","Stopped","Manual","LocalSystem","C:\Windows\system32\vssvc.exe"
"VSStandardCollectorService150","Visual Studio Standard Collector Service 150","Stopped","Manual","LocalSystem","""C:\Program Files (x86)\Microsoft Visual Studio\Shared\Common\DiagnosticsHub.Collection.Service\StandardCollector.Service.exe"""
"WaaSMedicSvc","WaaSMedicSvc","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k wusvcs -p"
"WalletService","WalletService","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k appmodel -p"
"WarpJITSvc","Warp JIT Service","Stopped","Manual","NT Authority\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted"
"wbengine","Block Level Backup Engine Service","Stopped","Manual","localSystem","""C:\Windows\system32\wbengine.exe"""
"WbioSrvc","Windows Biometric Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k WbioSvcGroup"
"wcncsvc","Windows Connect Now - Config Registrar","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalServiceAndNoImpersonation -p"
"WdiServiceHost","Diagnostic Service Host","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalService -p"
"WdiSystemHost","Diagnostic System Host","Stopped","Manual","LocalSystem","C:\Windows\System32\svchost.exe -k LocalSystemNetworkRestricted -p"
"WebClient","WebClient","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalService -p"
"Wecsvc","Windows Event Collector","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\system32\svchost.exe -k NetworkService -p"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k WepHostSvcGroup"
"wercplsupport","Problem Reports Control Panel Support","Stopped","Manual","localSystem","C:\Windows\System32\svchost.exe -k netsvcs -p"
"WerSvc","Windows Error Reporting Service","Stopped","Manual","localSystem","C:\Windows\System32\svchost.exe -k WerSvcGroup"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"WiaRpc","Still Image Acquisition Events","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"WifiAutoInstallSrv","Wifi AutoInstall Service","Stopped","Disabled","LocalSystem","C:\Program Files\WiFi6\WifiAutoInstall\WifiAutoInstallSrv.exe"
"WinRM","Windows Remote Management (WS-Management)","Stopped","Manual","NT AUTHORITY\NetworkService","C:\Windows\System32\svchost.exe -k NetworkService -p"
"wisvc","Windows Insider Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"wlidsvc","Microsoft Account Sign-in Assistant","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"wlpasvc","Local Profile Assistant Service","Stopped","Manual","NT Authority\LocalService","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p"
"WManSvc","Windows Management Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"wmiApSrv","WMI Performance Adapter","Stopped","Manual","localSystem","C:\Windows\system32\wbem\WmiApSrv.exe"
"WMPNetworkSvc","Windows Media Player Network Sharing Service","Stopped","Manual","NT AUTHORITY\NetworkService","""C:\Program Files\Windows Media Player\wmpnetwk.exe"""
"workfolderssvc","Work Folders","Stopped","Manual","NT AUTHORITY\LocalService","C:\Windows\System32\svchost.exe -k LocalService -p"
"WpcMonSvc","Parental Controls","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalService"
"WPDBusEnum","Portable Device Enumerator Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted"
"WslInstaller","Windows Subsystem for Linux","Stopped","Auto","LocalSystem","""C:\Program Files\WindowsApps\MicrosoftCorporationII.WindowsSubsystemForLinux_2.5.10.0_x64__8wekyb3d8bbwe\wslinstaller.exe"""
"wuauserv","Windows Update","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"WwanSvc","WWAN AutoConfig","Stopped","Manual","localSystem","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p"
"XblGameSave","Xbox Live Game Save","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"XboxGipSvc","Xbox Accessory Management Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
"XboxNetApiSvc","Xbox Live Networking Service","Stopped","Manual","LocalSystem","C:\Windows\system32\svchost.exe -k netsvcs -p"
