"State","LocalAddress","LocalPort","RemoteAddress","RemotePort","OwningProcess"
"Established","2600:6c40:1f00:5639:c1b7:ee09:a10b:7e7a","65181","2606:4700::6812:1ead","443","18000"
"Established","2600:6c40:1f00:5639:c1b7:ee09:a10b:7e7a","64930","2606:4700:4400::6812:202f","443","18000"
"Established","2600:6c40:1f00:5639:c1b7:ee09:a10b:7e7a","64851","2606:4700:4400::ac40:95c4","443","18000"
"Listen","::","54235","::","0","4"
"Established","2600:6c40:1f00:5639:c1b7:ee09:a10b:7e7a","50744","2600:1407:3c00:1868::17dc:9008","443","12436"
"Established","2600:6c40:1f00:5639:c1b7:ee09:a10b:7e7a","50742","2600:1407:3c00:1868::17dc:9009","443","12436"
"Established","2600:6c40:1f00:5639:c1b7:ee09:a10b:7e7a","50119","2606:4700:4400::6812:2715","443","18000"
"Established","::1","50064","::1","5426","13472"
"Established","::1","50060","::1","5426","13472"
"Established","::1","50050","::1","5426","13472"
"Established","::1","50019","::1","5426","13472"
"Established","::1","49981","::1","5426","13472"
"Established","::1","49747","::1","49747","8756"
"Established","::1","49746","::1","49746","8756"
"Listen","::","49706","::","0","1236"
"Listen","::1","49691","::","0","5356"
"Listen","::","49686","::","0","4796"
"Listen","::","49669","::","0","3180"
"Listen","::","49668","::","0","2840"
"Listen","::","49665","::","0","1160"
"Listen","::","49664","::","0","1272"
"Listen","::","7680","::","0","16908"
"Established","::1","5426","::1","50064","4"
"Established","::1","5426","::1","50060","4"
"Established","::1","5426","::1","50050","4"
"Established","::1","5426","::1","50019","4"
"Established","::1","5426","::1","49981","4"
"Listen","::","5426","::","0","4"
"Listen","::","445","::","0","4"
"Listen","::","135","::","0","1552"
"Listen","127.0.0.1","65444","0.0.0.0","0","6296"
"Established","192.168.1.85","64850","104.208.16.92","443","18000"
"Established","127.0.0.1","64771","127.0.0.1","53979","24616"
"Established","192.168.1.85","64751","35.223.238.178","443","24616"
"Established","192.168.1.85","64720","20.169.174.231","443","18000"
"Established","192.168.1.85","63079","104.18.0.177","443","18000"
"Established","192.168.1.85","63075","104.18.0.177","443","18000"
"Established","192.168.1.85","62757","162.159.136.234","443","7816"
"Established","192.168.1.85","62670","35.223.238.178","443","17348"
"Established","192.168.1.85","62336","35.223.238.178","443","17348"
"Established","192.168.1.85","61493","35.223.238.178","443","17348"
"Established","192.168.1.85","59276","104.18.1.177","443","18000"
"Established","192.168.1.85","59220","104.18.1.177","443","18000"
"Established","192.168.1.85","59218","104.18.1.177","443","18000"
"Established","192.168.1.85","58894","172.166.106.148","443","16784"
"Established","127.0.0.1","57477","127.0.0.1","49958","7688"
"Listen","127.0.0.1","57477","0.0.0.0","0","7688"
"Listen","127.0.0.1","56546","0.0.0.0","0","5440"
"Established","127.0.0.1","54016","127.0.0.1","53979","24616"
"Established","127.0.0.1","54013","127.0.0.1","53979","24616"
"Established","127.0.0.1","54010","127.0.0.1","53979","24616"
"Established","127.0.0.1","53989","127.0.0.1","53986","14332"
"Established","127.0.0.1","53986","127.0.0.1","53989","17348"
"Listen","127.0.0.1","53986","0.0.0.0","0","17348"
"Established","127.0.0.1","53979","127.0.0.1","64771","17348"
"Established","127.0.0.1","53979","127.0.0.1","54013","17348"
"Established","127.0.0.1","53979","127.0.0.1","54016","17348"
"Established","127.0.0.1","53979","127.0.0.1","50279","17348"
"Established","127.0.0.1","53979","127.0.0.1","54010","17348"
"Established","127.0.0.1","53979","127.0.0.1","50275","17348"
"Listen","127.0.0.1","53979","0.0.0.0","0","17348"
"Listen","127.0.0.1","53978","0.0.0.0","0","14332"
"Established","192.168.1.85","50526","34.110.236.123","443","8756"
"Established","192.168.1.85","50442","216.86.160.159","443","17348"
"Established","192.168.1.85","50364","34.120.195.249","443","17348"
"Established","192.168.1.85","50288","34.125.60.146","1119","21068"
"Established","127.0.0.1","50279","127.0.0.1","53979","24616"
"Established","127.0.0.1","50275","127.0.0.1","53979","24616"
"Established","127.0.0.1","50249","127.0.0.1","50248","21068"
"Established","127.0.0.1","50248","127.0.0.1","50249","21068"
"Established","192.168.1.85","50231","34.110.236.123","443","21068"
"Established","192.168.1.85","50230","34.110.236.123","443","21068"
"Established","192.168.1.85","50213","137.221.106.28","1119","21068"
"Established","192.168.1.85","50212","137.221.106.28","1119","21068"
"Established","192.168.1.85","50088","137.221.105.136","443","8756"
"Established","127.0.0.1","50072","127.0.0.1","33683","18764"
"Established","127.0.0.1","49958","127.0.0.1","57477","2480"
"Established","192.168.1.85","49781","64.224.31.170","3724","8756"
"Established","127.0.0.1","49749","127.0.0.1","49748","8756"
"Established","127.0.0.1","49748","127.0.0.1","49749","8756"
"Established","127.0.0.1","49711","127.0.0.1","49710","5108"
"Established","127.0.0.1","49710","127.0.0.1","49711","5108"
"Listen","0.0.0.0","49706","0.0.0.0","0","1236"
"Established","127.0.0.1","49701","127.0.0.1","49700","1780"
"Established","127.0.0.1","49700","127.0.0.1","49701","1780"
"Established","127.0.0.1","49699","127.0.0.1","49698","3088"
"Established","127.0.0.1","49698","127.0.0.1","49699","3088"
"Established","127.0.0.1","49697","127.0.0.1","49696","1636"
"Established","127.0.0.1","49696","127.0.0.1","49697","1636"
"Listen","0.0.0.0","49686","0.0.0.0","0","4796"
"Listen","0.0.0.0","49669","0.0.0.0","0","3180"
"Listen","0.0.0.0","49668","0.0.0.0","0","2840"
"Listen","0.0.0.0","49665","0.0.0.0","0","1160"
"Listen","0.0.0.0","49664","0.0.0.0","0","1272"
"Established","192.168.1.85","49408","98.66.133.184","443","5996"
"Established","192.168.1.85","49241","34.8.224.156","443","17348"
"Established","192.168.1.85","49232","35.223.238.178","443","24616"
"Established","192.168.1.85","49227","192.34.20.166","443","17348"
"Established","127.0.0.1","33683","127.0.0.1","50072","8592"
"Listen","127.0.0.1","33683","0.0.0.0","0","8592"
"Listen","127.0.0.1","32683","0.0.0.0","0","8592"
"Listen","127.0.0.1","26822","0.0.0.0","0","12824"
"Listen","127.0.0.1","22885","0.0.0.0","0","21068"
"Listen","127.0.0.1","13344","0.0.0.0","0","14256"
"Listen","127.0.0.1","13331","0.0.0.0","0","6272"
"Listen","127.0.0.1","9080","0.0.0.0","0","5568"
"Listen","127.0.0.1","6463","0.0.0.0","0","9296"
"Listen","0.0.0.0","5040","0.0.0.0","0","10780"
"Listen","127.0.0.1","1337","0.0.0.0","0","5648"
"Listen","127.0.0.1","1120","0.0.0.0","0","6560"
"Listen","192.168.1.85","139","0.0.0.0","0","4"
"Listen","0.0.0.0","135","0.0.0.0","0","1552"
