"TaskName","TaskPath","LastRunTime","NextRunTime","LastTaskResult"
"NahimicTask64","\","8/28/2025 7:31:31 AM",,"267009"
"Adobe-Genuine-Software-Integrity-Scheduler-1.0","\","8/28/2025 2:37:37 PM","8/28/2025 8:37:37 PM","0"
"OneDrive Reporting Task-S-1-5-21-1585972827-2581376412-277449580-1001","\","8/27/2025 9:31:31 PM","8/28/2025 9:31:31 PM","0"
"NahimicTask32","\","8/28/2025 7:31:31 AM",,"267009"
"AdobeGCInvoker-1.0","\","8/28/2025 7:36:36 AM","8/29/2025 3:46:46 AM","0"
"ETW Host Service Updater v16","\","8/28/2025 11:04:04 AM","8/29/2025 11:04:04 AM","0"
"NVIDIA App SelfUpdate_{B2FE1952-0186-46C3-BAEC-A80AA35AC5B8}","\","11/30/1999 12:00:00 AM",,"267011"
"OneDC_Updater","\","8/28/2025 7:36:36 AM","8/29/2025 6:00:00 AM","2147946720"
"npcapwatchdog","\","11/30/2024 12:10:10 PM",,"0"
"MicrosoftEdgeUpdateTaskMachineCore","\","8/28/2025 9:18:18 AM","8/29/2025 9:18:18 AM","0"
"OmApSvcBroker","\","8/28/2025 7:31:31 AM",,"267009"
"MicrosoftEdgeUpdateTaskMachineUA","\","8/28/2025 4:48:48 PM","8/28/2025 5:48:48 PM","0"
"Adobe Acrobat Update Task","\","1/1/2025 7:16:16 PM","8/28/2025 7:00:00 PM","0"
"Git for Windows Updater","\","8/28/2025 4:26:26 PM","8/29/2025 4:26:26 PM","43"
"S-1-5-21-1585972827-2581376412-277449580-500","\Agent Activation Runtime\","11/30/1999 12:00:00 AM",,"267011"
"OneDrive Standalone Update Task-S-1-5-21-1585972827-2581376412-277449580-1001","\","8/27/2025 9:30:30 PM","8/28/2025 9:02:02 PM","2147806724"
"OneDrive Standalone Update Task-S-1-5-21-1585972827-2581376412-277449580-500","\","12/19/2022 10:57:57 AM","8/29/2025 5:00:00 PM","2147943467"
"Overwolf Updater Task","\","11/30/2024 10:58:58 AM","8/28/2025 5:58:58 PM","0"
"OneDrive Startup Task-S-1-5-21-1585972827-2581376412-277449580-1001","\","8/28/2025 7:41:41 AM",,"0"
"Launch Adobe CCXProcess","\","8/27/2025 8:44:44 PM","8/28/2025 8:44:44 PM","0"
"Office Performance Monitor","\Microsoft\Office\","11/30/1999 12:00:00 AM",,"267011"
"GoogleUpdaterTaskSystem141.0.7340.0{B6CCAAA6-030A-4D3F-815A-69BA7D97D927}","\GoogleSystem\GoogleUpdater\","8/28/2025 4:20:20 PM","8/28/2025 5:20:20 PM","0"
"Printer Health Monitor Logon","\HP\HP Print Scan Doctor\","8/28/2025 7:52:52 AM",,"0"
".NET Framework NGEN v4.0.30319","\Microsoft\Windows\.NET Framework\","8/28/2025 4:45:45 PM",,"0"
"Office Feature Updates Logon","\Microsoft\Office\","1/4/2025 4:53:53 AM",,"2147483674"
".NET Framework NGEN v4.0.30319 64","\Microsoft\Windows\.NET Framework\","8/28/2025 4:45:45 PM",,"0"
"Office ClickToRun Service Monitor","\Microsoft\Office\","1/4/2025 4:00:00 AM","8/29/2025 8:13:13 AM","0"
"Office Feature Updates","\Microsoft\Office\","1/4/2025 10:00:00 AM","8/28/2025 6:59:59 PM","0"
"Office Automatic Updates 2.0","\Microsoft\Office\","1/4/2025 12:42:42 PM","8/29/2025 8:59:59 AM","0"
"BackgroundDownload","\Microsoft\VisualStudio\Updates\","8/28/2025 4:43:43 PM",,"0"
"Printer Health Monitor","\HP\HP Print Scan Doctor\","8/28/2025 7:31:31 AM","8/28/2025 5:55:55 PM","0"
"AD RMS Rights Policy Template Management (Automated)","\Microsoft\Windows\Active Directory Rights Management Services Client\","11/30/1999 12:00:00 AM","8/29/2025 3:40:40 AM","267011"
"PolicyConverter","\Microsoft\Windows\AppID\","11/30/1999 12:00:00 AM",,"267011"
"AD RMS Rights Policy Template Management (Manual)","\Microsoft\Windows\Active Directory Rights Management Services Client\","11/30/1999 12:00:00 AM",,"267011"
"VerifiedPublisherCertStoreCheck","\Microsoft\Windows\AppID\","11/30/1999 12:00:00 AM",,"267011"
".NET Framework NGEN v4.0.30319 Critical","\Microsoft\Windows\.NET Framework\","8/14/2025 4:48:48 PM",,"0"
"EDP Policy Manager","\Microsoft\Windows\AppID\","11/30/1999 12:00:00 AM",,"267011"
"MareBackup","\Microsoft\Windows\Application Experience\","11/30/1999 12:00:00 AM",,"267011"
".NET Framework NGEN v4.0.30319 64 Critical","\Microsoft\Windows\.NET Framework\","8/14/2025 4:48:48 PM",,"0"
"StartupAppTask","\Microsoft\Windows\Application Experience\","8/28/2025 4:45:45 PM",,"0"
"PcaWallpaperAppDetect","\Microsoft\Windows\Application Experience\","8/26/2025 12:00:00 PM","8/29/2025 12:00:00 PM","0"
"SdbinstMergeDbTask","\Microsoft\Windows\Application Experience\","8/28/2025 7:31:31 AM",,"0"
"appuriverifierdaily","\Microsoft\Windows\ApplicationData\","8/28/2025 4:45:45 PM",,"0"
"appuriverifierinstall","\Microsoft\Windows\ApplicationData\","8/28/2025 1:59:59 PM",,"0"
"CleanupTemporaryState","\Microsoft\Windows\ApplicationData\","8/28/2025 4:45:45 PM",,"0"
"Pre-staged app cleanup","\Microsoft\Windows\AppxDeploymentClient\","7/8/2023 10:01:01 PM",,"0"
"Microsoft Compatibility Appraiser","\Microsoft\Windows\Application Experience\","11/6/2024 3:19:19 PM","8/28/2025 9:41:41 PM","1056"
"BitLocker Encrypt All Drives","\Microsoft\Windows\BitLocker\","11/30/1999 12:00:00 AM",,"267011"
"Proxy","\Microsoft\Windows\Autochk\","8/28/2025 11:31:31 AM",,"0"
"Backup","\Microsoft\Windows\AppListBackup\","8/27/2025 7:06:06 PM",,"0"
"BitLocker MDM policy Refresh","\Microsoft\Windows\BitLocker\","11/30/1999 12:00:00 AM",,"267011"
"UninstallDeviceTask","\Microsoft\Windows\Bluetooth\","11/30/1999 12:00:00 AM",,"267011"
"BackupNonMaintenance","\Microsoft\Windows\AppListBackup\","8/23/2025 6:39:39 AM","9/6/2025 12:53:53 AM","0"
"UCPD velocity","\Microsoft\Windows\AppxDeploymentClient\","8/28/2025 1:48:48 PM",,"0"
"PcaPatchDbTask","\Microsoft\Windows\Application Experience\","8/28/2025 4:31:31 PM","8/29/2025 4:54:54 AM","0"
"DsSvcCleanup","\Microsoft\Windows\ApplicationData\","8/28/2025 4:45:45 PM",,"0"
"BgTaskRegistrationMaintenanceTask","\Microsoft\Windows\BrokerInfrastructure\","8/28/2025 4:45:45 PM",,"268435456"
"maintenancetasks","\Microsoft\Windows\capabilityaccessmanager\","8/28/2025 4:45:45 PM",,"0"
"AikCertEnrollTask","\Microsoft\Windows\CertificateServicesClient\","8/28/2025 7:31:31 AM",,"0"
"CryptoPolicyTask","\Microsoft\Windows\CertificateServicesClient\","11/30/1999 12:00:00 AM",,"267011"
"KeyPreGenTask","\Microsoft\Windows\CertificateServicesClient\","8/28/2025 7:31:31 AM",,"0"
"ProactiveScan","\Microsoft\Windows\Chkdsk\","8/28/2025 4:45:45 PM",,"0"
"License Validation","\Microsoft\Windows\Clip\","11/30/1999 12:00:00 AM",,"267011"
"SyspartRepair","\Microsoft\Windows\Chkdsk\","11/30/1999 12:00:00 AM",,"267011"
"SystemTask","\Microsoft\Windows\CertificateServicesClient\","8/28/2025 3:31:31 PM",,"0"
"CreateObjectTask","\Microsoft\Windows\CloudExperienceHost\","7/7/2023 4:07:07 PM",,"0"
"UserTask","\Microsoft\Windows\CertificateServicesClient\","8/28/2025 3:31:31 PM",,"0"
"UnifiedConsentSyncTask","\Microsoft\Windows\ConsentUX\UnifiedConsent\","8/28/2025 2:03:03 PM","8/29/2025 1:19:19 PM","0"
"Backup","\Microsoft\Windows\CloudRestore\","8/23/2025 12:21:21 PM","8/31/2025 8:51:51 PM","0"
"Data Integrity Scan","\Microsoft\Windows\Data Integrity Scan\","11/30/1999 12:00:00 AM",,"267011"
"ScheduledDefrag","\Microsoft\Windows\Defrag\","12/19/2022 11:31:31 AM",,"2147943467"
"Restore","\Microsoft\Windows\CloudRestore\","11/30/1999 12:00:00 AM",,"267011"
"Consolidator","\Microsoft\Windows\Customer Experience Improvement Program\","11/6/2024 6:00:00 PM","8/28/2025 6:00:00 PM","0"
"UserTask-Roam","\Microsoft\Windows\CertificateServicesClient\","8/28/2025 7:35:35 AM",,"0"
"UsbCeip","\Microsoft\Windows\Customer Experience Improvement Program\","11/5/2024 4:54:54 PM",,"0"
"Data Integrity Check And Scan","\Microsoft\Windows\Data Integrity Scan\","11/30/1999 12:00:00 AM","8/28/2025 11:39:39 PM","267011"
"Data Integrity Scan for Crash Recovery","\Microsoft\Windows\Data Integrity Scan\","11/30/1999 12:00:00 AM",,"267011"
"Device","\Microsoft\Windows\Device Information\","8/28/2025 7:36:36 AM","8/29/2025 4:06:06 AM","0"
"HandleCommand","\Microsoft\Windows\DeviceDirectoryClient\","11/30/1999 12:00:00 AM",,"267011"
"HandleWnsCommand","\Microsoft\Windows\DeviceDirectoryClient\","11/30/1999 12:00:00 AM",,"267011"
"IntegrityCheck","\Microsoft\Windows\DeviceDirectoryClient\","12/19/2022 11:31:31 AM","9/1/2025 1:08:08 AM","0"
"Device User","\Microsoft\Windows\Device Information\","8/28/2025 8:12:12 AM",,"0"
"Metadata Refresh","\Microsoft\Windows\Device Setup\","8/22/2025 5:25:25 PM",,"0"
"RegisterDevicePolicyChange","\Microsoft\Windows\DeviceDirectoryClient\","12/23/2024 9:27:27 PM",,"0"
"LocateCommandUserSession","\Microsoft\Windows\DeviceDirectoryClient\","11/30/1999 12:00:00 AM",,"267011"
"Scheduled","\Microsoft\Windows\Diagnosis\","8/24/2025 4:42:42 PM",,"0"
"RegisterDeviceLocationRightsChange","\Microsoft\Windows\DeviceDirectoryClient\","8/28/2025 8:12:12 AM",,"0"
"RecommendedTroubleshootingScanner","\Microsoft\Windows\Diagnosis\","7/7/2023 4:13:13 PM",,"0"
"RegisterDeviceProtectionStateChanged","\Microsoft\Windows\DeviceDirectoryClient\","8/28/2025 7:53:53 AM",,"0"
"RegisterDeviceSettingChange","\Microsoft\Windows\DeviceDirectoryClient\","7/7/2023 4:08:08 PM",,"0"
"DXGIAdapterCache","\Microsoft\Windows\DirectX\","8/28/2025 7:32:32 AM",,"0"
"RegisterUserDevice","\Microsoft\Windows\DeviceDirectoryClient\","8/28/2025 7:46:46 AM",,"0"
"RegisterDeviceWnsFallback","\Microsoft\Windows\DeviceDirectoryClient\","11/30/1999 12:00:00 AM","9/6/2025 12:25:25 PM","267011"
"RegisterDevicePeriodic24","\Microsoft\Windows\DeviceDirectoryClient\","8/28/2025 7:52:52 AM","8/29/2025 10:35:35 AM","0"
"Diagnostics","\Microsoft\Windows\DiskFootprint\","8/28/2025 4:45:45 PM",,"0"
"StorageSense","\Microsoft\Windows\DiskFootprint\","8/28/2025 4:45:45 PM",,"2147746132"
"EDP Inaccessible Credentials Task","\Microsoft\Windows\EDP\","11/30/1999 12:00:00 AM",,"267011"
"DirectXDatabaseUpdater","\Microsoft\Windows\DirectX\","7/9/2025 9:47:47 AM",,"0"
"SilentCleanup","\Microsoft\Windows\DiskCleanup\","8/28/2025 4:45:45 PM",,"0"
"RegisterDeviceAccountChange","\Microsoft\Windows\DeviceDirectoryClient\","7/7/2023 4:13:13 PM",,"0"
"Microsoft-Windows-DiskDiagnosticDataCollector","\Microsoft\Windows\DiskDiagnostic\","8/31/2023 6:24:24 PM",,"0"
"Microsoft-Windows-DiskDiagnosticResolver","\Microsoft\Windows\DiskDiagnostic\","11/30/1999 12:00:00 AM",,"267011"
"EDP App Launch Task","\Microsoft\Windows\EDP\","11/30/1999 12:00:00 AM",,"267011"
"dusmtask","\Microsoft\Windows\DUSM\","11/30/1999 12:00:00 AM",,"267011"
"EDP Auth Task","\Microsoft\Windows\EDP\","11/30/1999 12:00:00 AM",,"267011"
"StorageCardEncryption Task","\Microsoft\Windows\EDP\","11/30/1999 12:00:00 AM",,"267011"
"ExploitGuard MDM policy Refresh","\Microsoft\Windows\ExploitGuard\","8/28/2025 7:30:30 AM",,"0"
"ReconcileFeatures","\Microsoft\Windows\Flighting\FeatureConfig\","8/28/2025 7:35:35 AM",,"0"
"RefreshCache","\Microsoft\Windows\Flighting\OneSettings\","8/28/2025 4:34:34 PM","8/28/2025 10:06:06 PM","0"
"DmClient","\Microsoft\Windows\Feedback\Siuf\","8/28/2025 4:45:45 PM",,"0"
"DmClientOnScenarioDownload","\Microsoft\Windows\Feedback\Siuf\","11/6/2024 6:23:23 PM",,"0"
"File History (maintenance mode)","\Microsoft\Windows\FileHistory\","8/27/2025 6:49:49 PM",,"0"
"RemoteMouseSyncDataAvailable","\Microsoft\Windows\Input\","11/30/1999 12:00:00 AM",,"267011"
"BootstrapUsageDataReporting","\Microsoft\Windows\Flighting\FeatureConfig\","5/16/2025 6:52:52 PM","8/28/2025 5:22:22 PM","0"
"PenSyncDataAvailable","\Microsoft\Windows\Input\","11/30/1999 12:00:00 AM",,"267011"
"ReconcileConfigs","\Microsoft\Windows\Flighting\FeatureConfig\","8/28/2025 9:31:31 AM",,"0"
"RemoteTouchpadSyncDataAvailable","\Microsoft\Windows\Input\","11/30/1999 12:00:00 AM",,"267011"
"LocalUserSyncDataAvailable","\Microsoft\Windows\Input\","8/27/2025 11:00:00 PM",,"0"
"syncpensettings","\Microsoft\Windows\Input\","11/30/1999 12:00:00 AM",,"267011"
"UsageDataFlushing","\Microsoft\Windows\Flighting\FeatureConfig\","8/28/2025 7:31:31 AM",,"0"
"UsageDataReporting","\Microsoft\Windows\Flighting\FeatureConfig\","8/27/2025 6:49:49 PM",,"0"
"InputSettingsRestoreDataAvailable","\Microsoft\Windows\Input\","11/30/1999 12:00:00 AM",,"267011"
"UsageDataReceiver","\Microsoft\Windows\Flighting\FeatureConfig\","6/12/2025 10:02:02 PM",,"0"
"RemotePenSyncDataAvailable","\Microsoft\Windows\Input\","11/30/1999 12:00:00 AM",,"267011"
"MouseSyncDataAvailable","\Microsoft\Windows\Input\","11/30/1999 12:00:00 AM",,"267011"
"TouchpadSyncDataAvailable","\Microsoft\Windows\Input\","11/30/1999 12:00:00 AM",,"267011"
"RestoreDevice","\Microsoft\Windows\InstallService\","8/28/2025 8:33:33 AM",,"0"
"ScanForUpdates","\Microsoft\Windows\InstallService\","8/28/2025 9:31:31 AM","8/29/2025 5:55:55 AM","0"
"ScanForUpdatesAsUser","\Microsoft\Windows\InstallService\","8/27/2025 7:05:05 PM",,"0"
"WakeUpAndContinueUpdates","\Microsoft\Windows\InstallService\","11/30/1999 12:00:00 AM",,"267011"
"Synchronize Language Settings","\Microsoft\Windows\International\","8/28/2025 7:31:31 AM",,"0"
"WakeUpAndScanForUpdates","\Microsoft\Windows\InstallService\","11/30/1999 12:00:00 AM","8/29/2025 12:40:40 AM","267011"
"SmartRetry","\Microsoft\Windows\InstallService\","8/27/2025 8:57:57 PM",,"0"
"RemediateHardwareChange","\Microsoft\Windows\Management\Autopilot\","11/30/1999 12:00:00 AM",,"267011"
"Installation","\Microsoft\Windows\LanguageComponentsInstaller\","8/28/2025 7:48:48 AM",,"0"
"TempSignedLicenseExchange","\Microsoft\Windows\License Manager\","8/28/2025 4:45:45 PM",,"0"
"WindowsActionDialog","\Microsoft\Windows\Location\","11/30/1999 12:00:00 AM",,"267011"
"Notifications","\Microsoft\Windows\Location\","5/21/2025 7:56:56 PM",,"1073807364"
"Uninstallation","\Microsoft\Windows\LanguageComponentsInstaller\","7/14/2023 6:36:36 PM",,"2147943467"
"La57Cleanup","\Microsoft\Windows\Kernel\","8/23/2025 6:13:13 PM",,"0"
"WinSAT","\Microsoft\Windows\Maintenance\","8/25/2025 4:43:43 PM",,"0"
"ReconcileLanguageResources","\Microsoft\Windows\LanguageComponentsInstaller\","8/28/2025 9:33:33 AM",,"0"
"DetectHardwareChange","\Microsoft\Windows\Management\Autopilot\","11/30/1999 12:00:00 AM",,"267011"
"MdmDiagnosticsCleanup","\Microsoft\Windows\Management\Provisioning\","7/7/2023 4:07:07 PM",,"0"
"Cellular","\Microsoft\Windows\Management\Provisioning\","11/30/1999 12:00:00 AM",,"267011"
"Retry","\Microsoft\Windows\Management\Provisioning\","11/30/1999 12:00:00 AM",,"267011"
"ProcessMemoryDiagnosticEvents","\Microsoft\Windows\MemoryDiagnostic\","8/28/2025 4:43:43 PM",,"2147946720"
"RunFullMemoryDiagnostic","\Microsoft\Windows\MemoryDiagnostic\","11/30/1999 12:00:00 AM",,"267011"
"Logon","\Microsoft\Windows\Management\Provisioning\","8/28/2025 7:52:52 AM",,"0"
"RunOnReboot","\Microsoft\Windows\Management\Provisioning\","11/30/1999 12:00:00 AM",,"267011"
"MapsToastTask","\Microsoft\Windows\Maps\","11/30/1999 12:00:00 AM",,"267011"
"MapsUpdateTask","\Microsoft\Windows\Maps\","11/30/1999 12:00:00 AM","8/29/2025 1:57:57 AM","267011"
"LPRemove","\Microsoft\Windows\MUI\","11/30/1999 12:00:00 AM",,"267011"
"Mcbuilder","\Microsoft\Windows\MUI\","7/9/2023 7:11:11 AM",,"0"
"AnalyzeSystem","\Microsoft\Windows\Power Efficiency Diagnostics\","8/28/2025 4:46:46 PM",,"2147942570"
"WiFiTask","\Microsoft\Windows\NlaSvc\","11/30/1999 12:00:00 AM",,"267011"
"PrintJobCleanupTask","\Microsoft\Windows\Printing\","7/12/2024 7:03:03 PM","8/29/2025 12:00:00 PM","0"
"PrinterCleanupTask","\Microsoft\Windows\Printing\","8/2/2025 12:00:00 PM","9/1/2025 12:00:00 PM","0"
"EduPrintProv","\Microsoft\Windows\Printing\","11/30/1999 12:00:00 AM",,"267011"
"SystemSoundsService","\Microsoft\Windows\Multimedia\","8/28/2025 7:31:31 AM",,"267009"
"Sqm-Tasks","\Microsoft\Windows\PI\","8/28/2025 8:13:13 AM",,"0"
"GatherNetworkInfo","\Microsoft\Windows\NetTrace\","11/30/1999 12:00:00 AM",,"267011"
"Secure-Boot-Update","\Microsoft\Windows\PI\","8/28/2025 7:35:35 AM",,"0"
"VerifyWinRE","\Microsoft\Windows\RecoveryEnvironment\","7/22/2023 4:26:26 PM",,"0"
"RemoteAssistanceTask","\Microsoft\Windows\RemoteAssistance\","12/23/2024 9:27:27 PM",,"0"
"StartComponentCleanup","\Microsoft\Windows\Servicing\","8/22/2025 5:25:25 PM",,"0"
"LoginCheck","\Microsoft\Windows\PushToInstall\","8/28/2025 7:36:36 AM",,"0"
"Account Cleanup","\Microsoft\Windows\SharedPC\","11/30/1999 12:00:00 AM",,"267011"
"MobilityManager","\Microsoft\Windows\Ras\","11/30/1999 12:00:00 AM",,"267011"
"Registration","\Microsoft\Windows\PushToInstall\","8/28/2025 7:36:36 AM","8/29/2025 7:36:36 AM","0"
"Device Install Group Policy","\Microsoft\Windows\Plug and Play\","12/23/2024 9:27:27 PM",,"0"
"RegIdleBackup","\Microsoft\Windows\Registry\","8/25/2025 4:42:42 PM",,"0"
"Device Install Reboot Required","\Microsoft\Windows\Plug and Play\","8/28/2025 7:31:31 AM",,"0"
"CreateObjectTask","\Microsoft\Windows\Shell\","8/24/2025 8:46:46 AM",,"0"
"Sysprep Generalize Drivers","\Microsoft\Windows\Plug and Play\","12/19/2022 1:15:15 PM",,"0"
"FamilySafetyMonitor","\Microsoft\Windows\Shell\","11/30/1999 12:00:00 AM",,"267011"
"FamilySafetyRefreshTask","\Microsoft\Windows\Shell\","11/30/1999 12:00:00 AM",,"267011"
"IndexerAutomaticMaintenance","\Microsoft\Windows\Shell\","8/27/2025 7:06:06 PM",,"0"
"ThemesSyncedImageDownload","\Microsoft\Windows\Shell\","8/28/2025 4:45:45 PM",,"2147942583"
"ThemeAssetTask_SyncFODState","\Microsoft\Windows\Shell\","11/30/1999 12:00:00 AM",,"267011"
"UpdateUserPictureTask","\Microsoft\Windows\Shell\","3/5/2025 6:41:41 PM",,"0"
"SvcRestartTask","\Microsoft\Windows\SoftwareProtectionPlatform\","11/30/1999 12:00:00 AM","8/4/2125 4:34:34 PM","267011"
"SvcRestartTaskNetwork","\Microsoft\Windows\SoftwareProtectionPlatform\","11/30/1999 12:00:00 AM",,"267011"
"SpeechModelDownloadTask","\Microsoft\Windows\Speech\","8/28/2025 7:52:52 AM","8/29/2025 3:06:06 AM","0"
"LicenseAcquisition","\Microsoft\Windows\Subscription\","11/30/1999 12:00:00 AM","8/28/2025 9:06:06 PM","267011"
"WsSwapAssessmentTask","\Microsoft\Windows\Sysmain\","8/24/2025 4:43:43 PM",,"0"
"MsCtfMonitor","\Microsoft\Windows\TextServicesFramework\","8/28/2025 7:31:31 AM",,"0"
"HybridDriveCachePrepopulate","\Microsoft\Windows\Sysmain\","11/30/1999 12:00:00 AM",,"267011"
"ResPriStaticDbSync","\Microsoft\Windows\Sysmain\","8/24/2025 4:43:43 PM",,"0"
"HybridDriveCacheRebalance","\Microsoft\Windows\Sysmain\","11/30/1999 12:00:00 AM",,"267011"
"SR","\Microsoft\Windows\SystemRestore\","8/27/2025 7:06:06 PM",,"0"
"SynchronizeTime","\Microsoft\Windows\Time Synchronization\","8/28/2025 4:45:45 PM",,"0"
"ForceSynchronizeTime","\Microsoft\Windows\Time Synchronization\","8/28/2025 7:31:31 AM",,"0"
"Interactive","\Microsoft\Windows\Task Manager\","2/28/2025 5:18:18 PM",,"2147943623"
"SvcRestartTaskLogon","\Microsoft\Windows\SoftwareProtectionPlatform\","7/7/2023 4:07:07 PM",,"0"
"Storage Tiers Optimization","\Microsoft\Windows\Storage Tiers Management\","11/30/1999 12:00:00 AM","8/28/2025 9:00:00 PM","267011"
"SpaceManagerTask","\Microsoft\Windows\SpacePort\","11/30/1999 12:00:00 AM",,"267011"
"Storage Tiers Management Initialization","\Microsoft\Windows\Storage Tiers Management\","11/30/1999 12:00:00 AM",,"267011"
"EnableLicenseAcquisition","\Microsoft\Windows\Subscription\","8/28/2025 7:31:31 AM",,"0"
"MaintenanceTasks","\Microsoft\Windows\StateRepository\","8/28/2025 4:45:45 PM",,"0"
"SpaceAgentTask","\Microsoft\Windows\SpacePort\","11/30/1999 12:00:00 AM",,"267011"
"Tpm-Maintenance","\Microsoft\Windows\TPM\","8/28/2025 7:31:31 AM",,"0"
"Schedule Scan Static Task","\Microsoft\Windows\UpdateOrchestrator\","8/28/2025 9:36:36 AM",,"0"
"Schedule Work","\Microsoft\Windows\UpdateOrchestrator\","8/28/2025 7:50:50 AM","8/29/2025 2:33:33 AM","0"
"Report policies","\Microsoft\Windows\UpdateOrchestrator\","8/24/2025 4:42:42 PM",,"0"
"RunUpdateNotificationMgr","\Microsoft\Windows\UNP\","11/30/1999 12:00:00 AM","8/29/2025 2:43:43 PM","267011"
"Schedule Wake To Work","\Microsoft\Windows\UpdateOrchestrator\","11/30/1999 12:00:00 AM",,"267011"
"Schedule Maintenance Work","\Microsoft\Windows\UpdateOrchestrator\","11/30/1999 12:00:00 AM",,"267011"
"Schedule Scan","\Microsoft\Windows\UpdateOrchestrator\","8/28/2025 12:17:17 PM","8/28/2025 6:50:50 PM","0"
"StartOobeAppsScan_LicenseAccepted","\Microsoft\Windows\UpdateOrchestrator\","7/7/2023 4:12:12 PM",,"0"
"UIEOrchestrator","\Microsoft\Windows\UpdateOrchestrator\","8/28/2025 7:36:36 AM","8/29/2025 12:30:30 PM","0"
"Tpm-HASCertRetr","\Microsoft\Windows\TPM\","11/30/1999 12:00:00 AM",,"267011"
"SynchronizeTimeZone","\Microsoft\Windows\Time Zone\","8/23/2025 6:13:13 PM",,"0"
"USO_UxBroker","\Microsoft\Windows\UpdateOrchestrator\","8/28/2025 1:48:48 PM","8/29/2025 9:33:33 AM","2147942402"
"Start Oobe Expedite Work","\Microsoft\Windows\UpdateOrchestrator\","8/28/2025 7:44:44 AM",,"0"
"StartOobeAppsScanAfterUpdate","\Microsoft\Windows\UpdateOrchestrator\","8/14/2025 4:23:23 PM",,"0"
"UUS Failover Task","\Microsoft\Windows\UpdateOrchestrator\","11/30/1999 12:00:00 AM",,"267011"
"UPnPHostConfig","\Microsoft\Windows\UPnP\","11/30/1999 12:00:00 AM",,"267011"
"DeferredWork","\Microsoft\Windows\WaaSMedic\","11/30/1999 12:00:00 AM",,"267011"
"HiveUploadTask","\Microsoft\Windows\User Profile Service\","11/30/1999 12:00:00 AM","8/29/2025 12:29:29 AM","267011"
"Usb-Notifications","\Microsoft\Windows\USB\","11/30/1999 12:00:00 AM",,"267011"
"PerformRemediation","\Microsoft\Windows\WaaSMedic\","8/24/2025 8:49:49 AM","8/31/2025 5:09:09 AM","0"
"ResolutionHost","\Microsoft\Windows\WDI\","8/26/2025 7:46:46 AM",,"1073807364"
"WiFiTask","\Microsoft\Windows\WCM\","4/29/2024 8:18:18 PM",,"0"
"QueueReporting","\Microsoft\Windows\Windows Error Reporting\","8/28/2025 3:23:23 PM","8/28/2025 7:03:03 PM","0"
"Windows Defender Cache Maintenance","\Microsoft\Windows\Windows Defender\","8/28/2025 11:32:32 AM",,"0"
"Windows Defender Cleanup","\Microsoft\Windows\Windows Defender\","8/28/2025 11:32:32 AM",,"0"
"BfeOnServiceStartTypeChange","\Microsoft\Windows\Windows Filtering Platform\","11/30/1999 12:00:00 AM",,"267011"
"Windows Defender Verification","\Microsoft\Windows\Windows Defender\","8/28/2025 11:32:32 AM",,"0"
"Windows Defender Scheduled Scan","\Microsoft\Windows\Windows Defender\","8/28/2025 11:32:32 AM",,"0"
"Scheduled Start","\Microsoft\Windows\WindowsUpdate\","11/30/1999 12:00:00 AM",,"267011"
"WIM-Hash-Management","\Microsoft\Windows\WOF\","11/30/1999 12:00:00 AM",,"267011"
"Refresh Group Policy Cache","\Microsoft\Windows\WindowsUpdate\","12/23/2024 9:27:27 PM",,"0"
"MoProfileManagement","\Microsoft\Windows\WlanSvc\","11/30/1999 12:00:00 AM",,"267011"
"CDSSync","\Microsoft\Windows\WlanSvc\","8/28/2025 7:32:32 AM",,"0"
"WIM-Hash-Validation","\Microsoft\Windows\WOF\","8/28/2025 4:45:45 PM",,"0"
"CacheTask","\Microsoft\Windows\Wininet\","8/28/2025 7:31:31 AM",,"267009"
"Work Folders Logon Synchronization","\Microsoft\Windows\Work Folders\","8/28/2025 7:36:36 AM",,"0"
"UpdateLibrary","\Microsoft\Windows\Windows Media Sharing\","11/30/1999 12:00:00 AM",,"267011"
"Work Folders Maintenance Work","\Microsoft\Windows\Work Folders\","8/28/2025 4:45:45 PM",,"0"
"Device-Sync","\Microsoft\Windows\Workplace Join\","11/30/1999 12:00:00 AM",,"267011"
"Calibration Loader","\Microsoft\Windows\WindowsColorSystem\","8/28/2025 7:31:31 AM",,"0"
"NotificationTask","\Microsoft\Windows\WwanSvc\","11/30/1999 12:00:00 AM",,"267011"
"Automatic-Device-Join","\Microsoft\Windows\Workplace Join\","11/30/1999 12:00:00 AM",,"267011"
"XblGameSaveTask","\Microsoft\XblGameSave\","11/30/1999 12:00:00 AM",,"267011"
"Recovery-Check","\Microsoft\Windows\Workplace Join\","11/30/1999 12:00:00 AM",,"267011"
"OobeDiscovery","\Microsoft\Windows\WwanSvc\","8/28/2025 7:31:31 AM",,"0"
